2024-06-03 18:10:07,282 INFO  VehicleFlowGenerator - Creating Vehicle: time=149000000000,name=veh_24,route=r_0,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:07,283 INFO  VehicleFlowGenerator - Creating Vehicle: time=149000000000,name=veh_25,route=r_2,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:07,283 INFO  VehicleFlowGenerator - Creating Vehicle: time=149000000000,name=veh_26,route=r_1,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:07,283 INFO  VehicleFlowGenerator - Creating Vehicle: time=149000000000,name=veh_27,route=r_4,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:07,283 INFO  VehicleFlowGenerator - Creating Vehicle: time=149000000000,name=veh_28,route=r_3,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:07,283 INFO  VehicleFlowGenerator - Creating Vehicle: time=149000000000,name=veh_29,route=r_5,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:18,091 INFO  VehicleFlowGenerator - Creating Vehicle: time=185000000000,name=veh_30,route=r_0,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:18,091 INFO  VehicleFlowGenerator - Creating Vehicle: time=185000000000,name=veh_31,route=r_2,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:18,091 INFO  VehicleFlowGenerator - Creating Vehicle: time=185000000000,name=veh_32,route=r_1,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:18,091 INFO  VehicleFlowGenerator - Creating Vehicle: time=185000000000,name=veh_33,route=r_4,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:18,091 INFO  VehicleFlowGenerator - Creating Vehicle: time=185000000000,name=veh_34,route=r_3,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
2024-06-03 18:10:18,091 INFO  VehicleFlowGenerator - Creating Vehicle: time=185000000000,name=veh_35,route=r_5,laneSelectionMode=BEST,lane=-1,departConnectionIndex=0,pos=0,type=Car,departSpeed=0.0,applications=[eclipse.mosaic.apps.OnVehicleUpdatedApp]
